iter	RMSE
0	13.86983914
1	12.97338185
2	12.2016144
3	11.44245202
4	10.78834025
5	10.20923527
6	9.661480878
7	9.188061621
8	8.795214225
9	8.386935079
10	8.048330266
11	7.744838048
12	7.493635923
13	7.239903228
14	7.015554077
15	6.826781897
16	6.650169214
17	6.501090215
18	6.362995801
19	6.242833706
20	6.138518754
21	6.033717341
22	5.935318671
23	5.845920058
24	5.765257167
25	5.708298357
26	5.649105347
27	5.596221453
28	5.555390539
29	5.507624237
30	5.462276366
31	5.417257897
32	5.380772744
33	5.345243847
34	5.312938468
35	5.282760923
36	5.259926716
37	5.238790415
38	5.214865176
39	5.195540004
40	5.18082008
41	5.163948442
42	5.147331248
43	5.133922196
44	5.120512303
45	5.103166697
46	5.081148348
47	5.066169195
48	5.049810225
49	5.026507312
50	5.002820304
51	4.988764526
52	4.975571581
53	4.963261954
54	4.946779865
55	4.933346023
56	4.920082273
57	4.913792809
58	4.899890293
59	4.888488724
60	4.869547296
61	4.860144305
62	4.851888832
63	4.842338727
64	4.825197577
65	4.816516552
66	4.8100655
67	4.801083342
68	4.792753435
69	4.780747208
70	4.768671592
71	4.76396349
72	4.755459676
73	4.742802283
74	4.737079187
75	4.72410379
76	4.710619796
77	4.699120373
78	4.688194137
79	4.676566989
80	4.668603026
81	4.660463911
82	4.649164893
83	4.642748233
84	4.641031833
85	4.63116164
86	4.625525996
87	4.612705738
88	4.605217089
89	4.598506289
90	4.585025555
91	4.568434969
92	4.560897191
93	4.558324758
94	4.553135451
95	4.537669583
96	4.532696661
97	4.526946857
98	4.517721828
99	4.513476485
