iter	Passed	Remaining
0	1	112
1	2	130
2	3	115
3	4	109
4	5	105
5	6	103
6	7	97
7	8	92
8	8	88
9	9	84
10	10	81
11	10	79
12	11	76
13	12	76
14	13	76
15	14	74
16	14	72
17	15	70
18	16	71
19	17	71
20	19	72
21	20	73
22	21	72
23	22	72
24	24	72
25	24	70
26	25	69
27	26	67
28	27	66
29	27	64
30	28	63
31	29	61
32	29	60
33	30	59
34	31	57
35	32	57
36	33	57
37	34	56
38	35	55
39	36	54
40	37	53
41	37	52
42	39	52
43	40	51
44	41	50
45	41	49
46	42	48
47	43	46
48	43	45
49	45	45
50	46	44
51	47	44
52	48	43
53	49	42
54	50	41
55	51	40
56	52	39
57	53	38
58	54	37
59	54	36
60	55	35
61	56	34
62	56	33
63	57	32
64	58	31
65	59	30
66	60	29
67	60	28
68	62	28
69	63	27
70	64	26
71	65	25
72	66	24
73	67	23
74	68	22
75	69	21
76	69	20
77	70	19
78	71	18
79	72	18
80	72	17
81	73	16
82	74	15
83	74	14
84	76	13
85	77	12
86	78	11
87	79	10
88	80	9
89	81	9
90	82	8
91	82	7
92	83	6
93	85	5
94	86	4
95	86	3
96	87	2
97	88	1
98	88	0
99	89	0
