iter	Passed	Remaining
0	105	105819
1	106	53319
2	113	37844
3	115	28640
4	116	23160
5	119	19827
6	120	17146
7	128	15981
8	131	14434
9	132	13076
10	133	11958
11	134	11037
12	139	10578
13	140	9913
14	141	9315
15	143	8816
16	144	8347
17	145	7928
18	146	7552
19	147	7216
20	148	6927
21	151	6743
22	152	6491
23	154	6299
24	156	6085
25	156	5880
26	158	5696
27	159	5523
28	160	5360
29	161	5209
30	162	5068
31	163	4945
32	164	4819
33	167	4760
34	168	4656
35	170	4562
36	191	4993
37	193	4891
38	194	4786
39	195	4684
40	196	4588
41	199	4560
42	201	4485
43	202	4401
44	203	4318
45	204	4241
46	205	4168
47	206	4098
48	207	4035
49	208	3969
50	209	3905
51	210	3844
52	213	3823
53	215	3776
54	216	3727
55	218	3675
56	219	3623
57	220	3573
58	221	3524
59	222	3481
60	223	3435
61	234	3548
62	235	3505
63	236	3462
64	248	3577
65	249	3537
66	251	3497
67	252	3457
68	253	3421
69	255	3399
70	256	3361
71	262	3384
72	263	3348
73	265	3319
74	266	3287
75	290	3537
76	295	3538
77	296	3499
78	297	3470
79	298	3437
80	299	3403
81	300	3365
82	301	3331
83	302	3300
84	303	3270
85	304	3241
86	308	3241
87	310	3213
88	311	3186
89	318	3215
90	319	3190
91	320	3161
92	321	3135
93	326	3147
94	327	3121
95	328	3094
96	329	3071
97	330	3039
98	332	3027
99	333	3002
100	334	2976
101	335	2953
102	336	2927
103	337	2905
104	344	2933
105	346	2926
106	350	2921
107	351	2903
108	358	2930
109	359	2909
110	360	2888
111	361	2869
112	363	2853
113	364	2833
114	366	2817
115	367	2801
116	375	2837
117	377	2822
118	379	2805
119	380	2791
120	381	2774
121	387	2785
122	388	2771
123	389	2755
124	391	2740
125	392	2724
126	394	2713
127	395	2697
128	405	2737
129	406	2721
130	407	2705
131	409	2693
132	410	2677
133	412	2663
134	417	2677
135	419	2664
136	420	2648
137	421	2632
138	422	2616
139	423	2599
140	424	2584
141	426	2574
142	427	2561
143	431	2562
144	433	2554
145	434	2543
146	435	2529
147	437	2516
148	438	2504
149	439	2491
150	441	2479
151	442	2467
152	447	2475
153	448	2462
154	449	2449
155	451	2440
156	452	2429
157	453	2418
158	455	2409
159	456	2397
160	457	2386
161	461	2386
162	462	2374
163	465	2371
164	466	2358
165	466	2345
166	467	2333
167	468	2322
168	469	2309
169	470	2298
170	472	2292
171	479	2309
172	481	2300
173	482	2290
174	483	2281
175	486	2279
176	488	2270
177	492	2273
178	493	2265
179	497	2267
180	498	2256
181	499	2244
182	500	2233
183	501	2222
184	502	2212
185	503	2201
186	504	2192
187	505	2181
188	507	2175
189	508	2166
190	509	2156
191	509	2146
192	511	2139
193	512	2131
194	514	2125
195	515	2116
196	517	2107
197	517	2097
198	518	2087
199	519	2077
200	520	2068
201	527	2082
202	528	2073
203	529	2066
204	531	2059
205	531	2050
206	532	2041
207	533	2032
208	535	2027
209	536	2019
210	538	2014
211	540	2007
212	541	2000
213	542	1993
214	543	1984
215	544	1976
216	545	1967
217	546	1959
218	547	1950
219	547	1942
220	548	1933
221	549	1925
222	554	1932
223	556	1928
224	557	1920
225	558	1911
226	559	1903
227	559	1895
228	560	1887
229	561	1879
230	562	1872
231	563	1866
232	564	1859
233	568	1859
234	570	1855
235	572	1851
236	573	1845
237	574	1838
238	574	1830
239	575	1823
240	576	1816
241	577	1808
242	579	1805
243	582	1804
244	583	1798
245	585	1795
246	586	1788
247	587	1780
248	588	1773
249	588	1765
250	589	1758
251	590	1751
252	591	1746
253	592	1741
254	602	1760
255	603	1754
256	604	1748
257	605	1741
258	606	1735
259	608	1731
260	608	1724
261	609	1717
262	610	1710
263	611	1704
264	612	1699
265	614	1694
266	616	1693
267	617	1687
268	618	1681
269	619	1674
270	620	1668
271	620	1662
272	621	1655
273	622	1649
274	623	1643
275	624	1637
276	625	1632
277	626	1628
278	629	1627
279	630	1622
280	631	1615
281	632	1610
282	633	1603
283	633	1597
284	634	1591
285	634	1584
286	635	1578
287	635	1571
288	636	1565
289	636	1559
290	637	1552
291	637	1546
292	638	1540
293	638	1534
294	639	1528
295	639	1522
296	640	1517
297	644	1519
298	646	1514
299	647	1509
300	647	1504
301	648	1498
302	648	1492
303	649	1487
304	650	1481
305	650	1476
306	652	1473
307	653	1468
308	654	1462
309	654	1457
310	655	1451
311	655	1446
312	657	1443
313	658	1438
314	660	1437
315	664	1438
316	667	1437
317	667	1432
318	668	1427
319	669	1422
320	670	1417
321	672	1415
322	674	1413
323	675	1408
324	676	1404
325	677	1400
326	677	1395
327	678	1390
328	679	1386
329	680	1381
330	681	1377
331	682	1373
332	683	1368
333	684	1364
334	684	1359
335	685	1355
336	686	1351
337	687	1347
338	689	1344
339	690	1340
340	691	1336
341	692	1332
342	693	1328
343	694	1323
344	695	1319
345	695	1315
346	696	1311
347	697	1307
348	698	1302
349	699	1298
350	699	1293
351	700	1289
352	700	1284
353	702	1281
354	704	1279
355	705	1276
356	706	1272
357	707	1268
358	707	1263
359	708	1259
360	709	1255
361	710	1251
362	711	1248
363	712	1244
364	713	1240
365	713	1236
366	714	1231
367	715	1227
368	715	1224
369	717	1221
370	719	1219
371	720	1216
372	721	1212
373	722	1209
374	723	1205
375	723	1201
376	724	1197
377	725	1193
378	727	1191
379	727	1187
380	728	1183
381	729	1179
382	729	1175
383	730	1171
384	730	1167
385	731	1163
386	732	1160
387	733	1157
388	735	1154
389	735	1150
390	736	1147
391	737	1143
392	738	1139
393	738	1136
394	739	1133
395	740	1129
396	741	1125
397	742	1122
398	742	1118
399	743	1115
400	744	1111
401	746	1109
402	747	1107
403	749	1105
404	750	1101
405	751	1098
406	751	1095
407	752	1092
408	753	1088
409	754	1085
410	754	1081
411	755	1078
412	756	1075
413	757	1072
414	758	1069
415	759	1066
416	760	1063
417	761	1060
418	763	1058
419	765	1056
420	766	1053
421	766	1050
422	767	1047
423	768	1043
424	768	1040
425	769	1036
426	769	1033
427	770	1029
428	770	1026
429	771	1022
430	771	1019
431	772	1015
432	773	1012
433	773	1008
434	774	1005
435	775	1003
436	777	1001
437	778	999
438	779	996
439	780	993
440	781	990
441	781	987
442	782	983
443	783	980
444	783	977
445	784	974
446	785	971
447	785	967
448	786	964
449	786	961
450	787	958
451	787	955
452	788	952
453	789	948
454	789	945
455	790	942
456	790	939
457	791	937
458	793	934
459	793	931
460	794	929
461	795	926
462	796	923
463	796	920
464	797	917
465	797	914
466	798	910
467	798	907
468	799	904
469	799	901
470	800	898
471	800	895
472	801	892
473	801	889
474	802	886
475	803	884
476	803	881
477	804	878
478	804	875
479	805	872
480	805	869
481	806	867
482	808	865
483	809	862
484	809	859
485	810	856
486	810	853
487	811	851
488	811	848
489	812	845
490	812	842
491	813	839
492	813	837
493	814	834
494	814	831
495	815	828
496	816	825
497	816	823
498	817	820
499	817	817
500	818	815
501	818	812
502	819	809
503	819	806
504	820	804
505	820	801
506	822	799
507	823	797
508	823	794
509	824	792
510	825	789
511	825	787
512	826	784
513	827	782
514	828	779
515	828	777
516	829	775
517	830	773
518	831	770
519	831	767
520	832	765
521	832	762
522	833	760
523	833	757
524	834	755
525	834	752
526	835	749
527	836	747
528	836	744
529	837	743
530	839	741
531	840	739
532	840	736
533	841	734
534	842	732
535	843	729
536	844	727
537	845	725
538	845	723
539	846	720
540	846	718
541	847	715
542	847	713
543	848	711
544	848	708
545	849	706
546	850	704
547	850	701
548	851	699
549	854	699
550	855	697
551	856	694
552	856	692
553	857	690
554	857	687
555	858	685
556	858	683
557	859	680
558	859	678
559	860	675
560	860	673
561	861	671
562	861	669
563	862	666
564	863	664
565	863	662
566	864	659
567	864	657
568	865	655
569	865	653
570	866	650
571	866	648
572	868	647
573	869	645
574	870	643
575	870	641
576	871	638
577	872	636
578	873	634
579	873	632
580	874	630
581	874	628
582	875	626
583	875	623
584	876	621
585	877	619
586	877	617
587	878	615
588	878	613
589	879	611
590	880	609
591	880	606
592	881	604
593	881	602
594	882	600
595	883	599
596	884	597
597	885	595
598	885	593
599	886	590
600	886	588
601	887	586
602	888	584
603	888	582
604	889	580
605	889	578
606	890	576
607	890	574
608	891	572
609	892	570
610	892	568
611	893	566
612	894	564
613	894	562
614	895	560
615	895	558
616	896	556
617	897	554
618	900	554
619	900	551
620	901	549
621	901	547
622	902	545
623	902	543
624	903	541
625	903	539
626	904	538
627	905	536
628	906	534
629	907	532
630	907	530
631	908	528
632	908	526
633	909	524
634	909	522
635	910	520
636	911	519
637	911	517
638	912	515
639	913	514
640	915	512
641	916	511
642	917	509
643	917	507
644	918	505
645	918	503
646	919	501
647	919	499
648	920	497
649	921	495
650	921	494
651	922	492
652	922	490
653	923	488
654	924	486
655	924	484
656	925	482
657	926	481
658	927	479
659	928	478
660	929	476
661	930	474
662	930	473
663	932	471
664	933	470
665	934	468
666	936	467
667	936	465
668	937	463
669	937	461
670	938	460
671	938	458
672	939	456
673	939	454
674	940	452
675	942	451
676	943	450
677	944	448
678	945	446
679	946	445
680	947	443
681	948	442
682	948	440
683	949	438
684	950	436
685	950	435
686	952	433
687	953	432
688	953	430
689	954	428
690	955	427
691	956	425
692	957	424
693	959	423
694	960	421
695	961	419
696	962	418
697	963	416
698	964	415
699	964	413
700	967	412
701	968	411
702	968	409
703	969	407
704	970	405
705	971	404
706	972	402
707	974	401
708	974	400
709	975	398
710	976	396
711	977	395
712	978	393
713	979	392
714	980	390
715	981	389
716	987	389
717	989	388
718	991	387
719	992	385
720	993	384
721	994	382
722	995	381
723	995	379
724	998	378
725	999	377
726	1000	375
727	1007	376
728	1008	374
729	1009	373
730	1012	372
731	1013	371
732	1014	369
733	1015	368
734	1027	370
735	1030	369
736	1032	368
737	1034	367
738	1039	367
739	1040	365
740	1044	365
741	1045	363
742	1047	362
743	1054	362
744	1057	361
745	1058	360
746	1059	358
747	1061	357
748	1062	356
749	1063	354
750	1067	353
751	1069	352
752	1070	351
753	1071	349
754	1072	348
755	1074	346
756	1075	345
757	1076	343
758	1077	342
759	1083	342
760	1085	340
761	1086	339
762	1087	337
763	1088	336
764	1089	334
765	1090	333
766	1091	331
767	1092	329
768	1093	328
769	1095	327
770	1097	325
771	1098	324
772	1099	322
773	1100	321
774	1101	319
775	1102	318
776	1103	316
777	1104	315
778	1105	313
779	1106	311
780	1106	310
781	1108	309
782	1112	308
783	1113	306
784	1115	305
785	1115	303
786	1116	302
787	1117	300
788	1117	298
789	1118	297
790	1118	295
791	1119	293
792	1119	292
793	1120	290
794	1120	289
795	1121	287
796	1122	285
797	1122	284
798	1124	282
799	1126	281
800	1127	280
801	1128	278
802	1128	276
803	1129	275
804	1130	273
805	1131	272
806	1131	270
807	1132	269
808	1132	267
809	1133	265
810	1133	264
811	1134	262
812	1135	261
813	1135	259
814	1136	257
815	1136	256
816	1137	254
817	1137	253
818	1139	251
819	1140	250
820	1141	248
821	1143	247
822	1143	245
823	1144	244
824	1145	242
825	1146	241
826	1146	239
827	1147	238
828	1147	236
829	1148	235
830	1148	233
831	1149	232
832	1149	230
833	1150	228
834	1150	227
835	1151	225
836	1152	224
837	1152	222
838	1154	221
839	1156	220
840	1157	218
841	1158	217
842	1159	215
843	1159	214
844	1160	212
845	1161	211
846	1162	209
847	1162	208
848	1163	206
849	1163	205
850	1164	203
851	1164	202
852	1165	200
853	1165	199
854	1166	197
855	1167	196
856	1169	195
857	1171	193
858	1172	192
859	1173	190
860	1173	189
861	1174	188
862	1175	186
863	1176	185
864	1176	183
865	1177	182
866	1177	180
867	1178	179
868	1179	177
869	1179	176
870	1180	174
871	1180	173
872	1181	171
873	1181	170
874	1182	168
875	1182	167
876	1184	166
877	1186	164
878	1187	163
879	1188	162
880	1189	160
881	1189	159
882	1190	157
883	1191	156
884	1191	154
885	1192	153
886	1192	151
887	1193	150
888	1193	149
889	1194	147
890	1194	146
891	1195	144
892	1195	143
893	1196	141
894	1196	140
895	1197	138
896	1197	137
897	1200	136
898	1202	135
899	1202	133
900	1203	132
901	1204	130
902	1204	129
903	1205	127
904	1205	126
905	1206	125
906	1206	123
907	1207	122
908	1207	120
909	1208	119
910	1208	118
911	1209	116
912	1209	115
913	1210	113
914	1210	112
915	1211	111
916	1211	109
917	1212	108
918	1212	106
919	1214	105
920	1216	104
921	1217	102
922	1217	101
923	1218	100
924	1218	98
925	1219	97
926	1219	96
927	1220	94
928	1220	93
929	1221	91
930	1221	90
931	1222	89
932	1222	87
933	1223	86
934	1224	85
935	1224	83
936	1225	82
937	1226	81
938	1226	79
939	1227	78
940	1229	77
941	1230	75
942	1230	74
943	1231	73
944	1232	71
945	1233	70
946	1233	69
947	1234	67
948	1234	66
949	1235	65
950	1236	63
951	1236	62
952	1237	61
953	1237	59
954	1238	58
955	1238	57
956	1239	55
957	1239	54
958	1240	53
959	1240	51
960	1241	50
961	1241	49
962	1242	47
963	1243	46
